"chemical.id","bottle.id","conc","plate.id","well","date","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","DNC_"
725,"C331561","11.1","21511","G04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21511","H04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","B04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","C04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","D04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","E04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","F04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","G04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","11.1","21528","H04","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","B03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","C03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","D03","20201021",0,1,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","E03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","F03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","G03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21511","H03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","B03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","C03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","D03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","E03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","F03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","G03","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","33.3","21528","H03","20201021",0,0,0,0,1,0,1,0,0,0,0,0,0,0
725,"C331561","66.5","21511","B02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","C02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","D02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","E02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","F02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","G02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21511","H02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","B02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","C02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","D02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","E02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","F02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","G02","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","66.5","21528","H02","20201021",0,1,0,0,1,1,1,1,0,0,0,0,1,0
725,"C331561","100","21511","B01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","C01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","D01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","E01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","F01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","G01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21511","H01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","B01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","C01","20201021",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
725,"C331561","100","21528","D01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","E01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","F01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","G01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,"C331561","100","21528","H01","20201021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A01","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A02","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A03","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A04","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A05","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A11","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","A12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","G12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21651","H12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A01","20201105",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
